sep=;
Test a on a int array: Linux Java 1.8.0_45
UNSORTED
;SSORT;ISORT;ISORT_BIN;MSORT_BASIC
 50000;  2602.16;   346.47;   409.16;    15.76;
100000; 12644.01;  1341.19;  1502.11;    18.31;
150000; 11848.94;  3570.67;  3269.95;    27.96;

ALMOST_SORTED
;SSORT;ISORT;ISORT_BIN;MSORT_BASIC
 50000;  1314.44;     0.18;     0.50;     4.15;
100000;  5270.17;     0.36;     1.05;    12.85;
150000; 12073.54;     0.54;     1.64;    12.38;

REPEATED_VALUES
;SSORT;ISORT;ISORT_BIN;MSORT_BASIC
 50000;  1325.72;   396.82;   370.90;     8.39;
100000;  5263.32;  1588.15;  1468.43;    19.58;
150000; 11944.47;  3613.03;  3298.46;    27.21;

